iter	Passed	Remaining
0	104	31194
1	159	23819
2	244	24185
3	329	24358
4	436	25761
5	530	25999
6	658	27551
7	799	29189
8	923	29844
9	1069	31025
10	1132	29756
11	1263	30326
12	1389	30674
13	1471	30063
14	1556	29565
15	1651	29311
16	1736	28899
17	1805	28288
18	1888	27931
19	1960	27446
20	2042	27130
21	2111	26680
22	2203	26533
23	2292	26365
24	2390	26295
25	2482	26158
26	2566	25949
27	2650	25752
28	2738	25592
29	2825	25426
30	2912	25274
31	2995	25087
32	3084	24960
33	3173	24829
34	3269	24751
35	3354	24596
36	3444	24484
37	3530	24341
38	3604	24123
39	3706	24091
40	3791	23950
41	3874	23803
42	3931	23499
43	4032	23463
44	4120	23352
45	4223	23323
46	4282	23052
47	4319	22676
48	4418	22635
49	4533	22669
50	4616	22541
51	4701	22421
52	4783	22293
53	4898	22317
54	4982	22194
55	5064	22068
56	5145	21935
57	5226	21805
58	5328	21764
59	5449	21797
60	5534	21685
61	5677	21793
62	5856	22032
63	5953	21954
64	6036	21823
65	6126	21722
66	6223	21642
67	6295	21479
68	6373	21338
69	6410	21064
70	6487	20925
71	6572	20812
72	6658	20704
73	6752	20622
74	6835	20507
75	6928	20421
76	7030	20360
77	7121	20269
78	7208	20165
79	7303	20085
80	7392	19986
81	7483	19896
82	7574	19804
83	7665	19711
84	7749	19601
85	7848	19528
86	7931	19418
87	8022	19326
88	8109	19226
89	8219	19177
90	8319	19108
91	8430	19060
92	8534	18995
93	8639	18933
94	8736	18851
95	8856	18820
96	8924	18677
97	9041	18635
98	9171	18620
99	9298	18596
100	9416	18552
101	9525	18490
102	9621	18402
103	9708	18296
104	9795	18192
105	9898	18115
106	9989	18018
107	10086	17931
108	10170	17821
109	10276	17750
110	10381	17677
111	10481	17593
112	10585	17517
113	10686	17435
114	10791	17360
115	10888	17271
116	10981	17176
117	11072	17078
118	11163	16980
119	11268	16902
120	11353	16795
121	11432	16680
122	11529	16591
123	11615	16486
124	11700	16380
125	11798	16292
126	11897	16207
127	11994	16117
128	12068	15997
129	12283	16063
130	12485	16107
131	12613	16053
132	12805	16079
133	12933	16021
134	13090	15999
135	13275	16008
136	13435	15984
137	13624	15993
138	13805	15991
139	13982	15979
140	14136	15941
141	14271	15879
142	14382	15790
143	14476	15682
144	14584	15590
145	14764	15573
146	14936	15545
147	15105	15514
148	15320	15525
149	15505	15505
150	15669	15462
151	15773	15357
152	15868	15245
153	15968	15139
154	16066	15030
155	16169	14925
156	16262	14812
157	16345	14689
158	16447	14585
159	16548	14479
160	16648	14373
161	16751	14269
162	16858	14169
163	16962	14066
164	17061	13959
165	17159	13851
166	17187	13688
167	17329	13616
168	17450	13527
169	17553	13423
170	17657	13320
171	17769	13224
172	17883	13128
173	17985	13023
174	18094	12924
175	18200	12822
176	18295	12713
177	18384	12600
178	18494	12501
179	18594	12396
180	18690	12288
181	18784	12178
182	18930	12103
183	19051	12010
184	19222	11949
185	19462	11928
186	19646	11871
187	19870	11837
188	20042	11771
189	20182	11684
190	20321	11596
191	20475	11517
192	20646	11446
193	20786	11357
194	20974	11293
195	21145	11220
196	21267	11119
197	21438	11044
198	21618	10971
199	21749	10874
200	21856	10764
201	21958	10653
202	22054	10538
203	22154	10425
204	22262	10316
205	22366	10206
206	22453	10087
207	22558	9977
208	22661	9867
209	22758	9753
210	22860	9642
211	22974	9536
212	23074	9424
213	23157	9306
214	23257	9194
215	23350	9080
216	23446	8968
217	23552	8859
218	23647	8746
219	23747	8635
220	23868	8532
221	23955	8416
222	24062	8308
223	24171	8200
224	24280	8093
225	24395	7988
226	24500	7878
227	24600	7768
228	24709	7661
229	24802	7548
230	24884	7433
231	24986	7323
232	25072	7209
233	25159	7096
234	25260	6986
235	25357	6876
236	25459	6767
237	25557	6657
238	25653	6547
239	25755	6438
240	25901	6341
241	26025	6237
242	26233	6153
243	26422	6064
244	26491	5947
245	26670	5854
246	26906	5773
247	27059	5673
248	27201	5571
249	27330	5466
250	27492	5366
251	27629	5262
252	27742	5153
253	27848	5043
254	28018	4944
255	28172	4842
256	28321	4738
257	28481	4636
258	28608	4528
259	28764	4425
260	28931	4323
261	29070	4216
262	29282	4119
263	29458	4017
264	29689	3921
265	29855	3816
266	30036	3712
267	30234	3610
268	30389	3502
269	30512	3390
270	30651	3280
271	30755	3165
272	30902	3056
273	31052	2946
274	31181	2834
275	31282	2720
276	31398	2607
277	31510	2493
278	31619	2379
279	31695	2263
280	31797	2149
281	31897	2036
282	32043	1924
283	32180	1812
284	32315	1700
285	32443	1588
286	32556	1474
287	32698	1362
288	32857	1250
289	32991	1137
290	33138	1024
291	33274	911
292	33474	799
293	33636	686
294	33771	572
295	33964	458
296	34150	344
297	34289	230
298	34410	115
299	34570	0
